COMUNA;POBLACION;AREA;DENSIDAD_POBLACIONAL
1;256405;17794569;14409,1717
2;149430;6317265;23654,22378
3;193276;6385991;30265,62361
4;240100;21684645;11072,35097
5;187518;6660603;28153,30684
6;185456;6851029;27069,80222
7;241861;12422901;19468,96301
8;228953;22216902;10305,3522
9;171264;16505306;10376,2996
10;170592;12656557;13478,54713
11;190076;14120042;13461,43305
12;214777;15570927;13793,46265
13;236358;14713213;16064,33619
14;227115;15845871;14332,75583
15;182465;14322897;12739,39204
